"method","number","orbital_period","mass","distance","year"
"Radial Velocity",1,493.7,1.1,20.43,2001
"Radial Velocity",1,1114,0.95,35,2002
"Radial Velocity",1,670,2.1,110.62,2011
"Radial Velocity",1,2597,1.88,33.01,2004
"Radial Velocity",1,25.827,0.178,38.02,2004
"Radial Velocity",1,6.1335,2.13,88.57,2005
"Radial Velocity",1,2082,4.5,97.66,2013
"Radial Velocity",1,63.33,1.22,44.37,2003
"Radial Velocity",1,344.95,3.71,133.16,2003
"Radial Velocity",3,559.4,3,52.83,2007
"Radial Velocity",3,4.1547,0.058,52.83,2009
"Radial Velocity",3,3008,7.2,52.83,2009
"Radial Velocity",1,9.6737,0.041,27.45,2009
"Radial Velocity",1,1244,0.38,68.35,2009
"Radial Velocity",1,948.12,0.224,38.05,2011
"Radial Velocity",2,454.2,1.45,16.57,2002
"Radial Velocity",2,923.8,3.24,16.57,2005
"Radial Velocity",1,1840,1.6,67.61,2009
"Radial Velocity",1,10.7085,1.04,29.76,1999
"Radial Velocity",1,883,2.2,121.36,2011
"Radial Velocity",1,1951,18.15,57.21,2008
"Radial Velocity",1,974,5.61,70.97,2007
"Radial Velocity",1,1544,1.49,98.52,2011
"Radial Velocity",2,3.27,0.0351,24.15,2011
"Radial Velocity",2,1160.9,0.1507,24.15,2011
"Radial Velocity",2,258.19,1.59,25.65,1999
"Radial Velocity",2,5000,0.82,25.65,2009
"Radial Velocity",3,12.083,0.0292,26.91,2011
"Radial Velocity",3,59.519,0.0382,26.91,2011
"Radial Velocity",3,459.26,0.121,26.91,2011
"Radial Velocity",1,464.3,2,106.38,2009
"Radial Velocity",3,11.577,0.0166,14.56,2011
"Radial Velocity",3,27.582,0.0358,14.56,2011
"Radial Velocity",3,106.72,0.03,14.56,2011
"Radial Velocity",1,330,0.223,38.45,2011
"Radial Velocity",1,1125.7,9.76,121.36,2008
"Radial Velocity",1,653.22,9.7,33.46,2002
"Radial Velocity",1,1928,5.1,35.87,2005
"Radial Velocity",1,1299,1.9,106.38,2011
"Radial Velocity",1,386.3,1.62,34.57,2003
"Radial Velocity",1,1057,3.12,59.35,2008
"Radial Velocity",1,176.3,2.9,126.1,2010
"Radial Velocity",1,103.95,5.76,55.19,2008
"Radial Velocity",2,44.236,2.12,42.68,2009
"Radial Velocity",2,1008,6.56,42.68,2009
"Radial Velocity",1,528.4,1.21,12.87,2003
"Radial Velocity",1,1027,0.85,53.05,2009
"Radial Velocity",1,331.5,0.96,59.28,2009
"Radial Velocity",1,4.072,1.33,63.49,2005
"Radial Velocity",1,2.391,15.5,76.51,2009
"Radial Velocity",1,1096.2,0.168,29.55,2011
"Radial Velocity",1,2097,3,85.18,2009
"Radial Velocity",1,689,1.5,182.82,2011
"Radial Velocity",1,499.4,2.73,51.87,2008
"Radial Velocity",1,18.596,0.0193,18.08,2011
"Radial Velocity",1,3342,0.947,18.06,2006
"Radial Velocity",1,163.9,5.02,65.79,2008
"Radial Velocity",2,408.6,2.24,68.54,2004
"Radial Velocity",2,3452,2.58,68.54,2014
"Radial Velocity",2,194.3,0.85,43.4,2007
"Radial Velocity",2,391.9,0.82,43.4,2007
"Radial Velocity",1,131.05,9.71,35.37,2011
"Radial Velocity",1,842,0.75,55.1,2009
"Radial Velocity",1,4.6455,0.013,24.05,2010
"Radial Velocity",1,359.5546,10.57,49,2007
"Radial Velocity",1,104.84,0.12,33.48,2011
"Radial Velocity",1,521,1.8,114.15,2011
"Radial Velocity",2,12.62,1.13,68.59,2013
"Radial Velocity",2,248.4,1.9,68.59,2013
"Radial Velocity",2,1178.4,2.1,52.72,2006
"Radial Velocity",2,352.3,0.73,52.72,2012
"Radial Velocity",4,4205.8,1.814,15.28,2004
"Radial Velocity",1,8.428198,14.4,31.26,2002
"Radial Velocity",2,75.29,0.77,69.44,2010
"Radial Velocity",2,1314,2.29,69.44,2010
"Radial Velocity",1,282.4,0.48,51.81,2010
"Radial Velocity",1,606.4,2.7,37.98,2009
"Radial Velocity",1,1155,0.36,21.92,2005
"Radial Velocity",1,5144,3.53,42.99,2012
"Radial Velocity",1,420.77,1.7,50,2007
"Radial Velocity",2,58.11289,8.02,37.88,1998
"Radial Velocity",2,1749.5,18.1,37.88,2000
"Radial Velocity",1,6.403,0.23,43.12,2002
"Radial Velocity",2,225.62,2.88,36.32,2000
"Radial Velocity",2,2102,4.04,36.32,2003
"Radial Velocity",1,1145,0.67,64.98,2007
"Radial Velocity",1,1523,2.6,44.05,2009
"Radial Velocity",1,323.6,2.7,134.95,2008
"Radial Velocity",1,1290,7.8,67.02,2009
"Radial Velocity",1,297.3,0.61,127.55,2007
"Radial Velocity",2,406.6,1.49,59.03,1999
"Radial Velocity",2,110.9,0.15,59.03,2010
"Radial Velocity",1,71.484,7.03,46.73,2001
"Radial Velocity",1,14.476,0.08,63.69,2008
"Radial Velocity",1,3.0925,0.95,27.05,2000
"Radial Velocity",1,479,1.6,114.55,2009
"Radial Velocity",1,663,3.3,115.47,2009
"Radial Velocity",3,9.3743,0.0238,26.15,2008
"Radial Velocity",3,962,0.64,26.15,2008
"Radial Velocity",3,2172,0.54,26.15,2008
"Radial Velocity",1,956,0.37,55.93,2009
"Radial Velocity",2,634.23,3.69,52.83,2004
"Radial Velocity",2,2950,3.82,52.83,2008
"Radial Velocity",1,6.838,0.94,47.37,2006
"Radial Velocity",1,986,0.75,44.98,2006
"Radial Velocity",2,3.097,0.52,47.92,1998
"Radial Velocity",2,3810,1.99,47.92,1999
"Radial Velocity",1,456.46,1.26,52.63,2004
"Radial Velocity",1,14.275,0.0316,17.72,2011
"Radial Velocity",1,1136.1,5.93,62.11,2002
"Radial Velocity",2,2891,1.502,15.89,2003
"Radial Velocity",2,17.1,0.057,15.89,2005
"Radial Velocity",1,1038.1,1.9,54.23,2007
"Radial Velocity",1,4885,3.1,189.39,2009
"Radial Velocity",1,24.348,0.72,19.89,1999
"Radial Velocity",2,74.72,0.05318,8.82,2011
"Radial Velocity",2,525.8,0.07552,8.82,2011
"Radial Velocity",1,351.5,2.5,67.39,2007
"Radial Velocity",1,18.20163,3.7,37.35,1999
"Radial Velocity",1,1289,3,46.93,2002
"Radial Velocity",1,3638,6.9,43.57,2012
"Radial Velocity",1,1333,2.58,32.99,2007
"Radial Velocity",1,1035.7,0.79,32.83,2011
"Radial Velocity",2,613.8,1.85,68.35,2010
"Radial Velocity",2,825,0.895,68.35,2010
"Radial Velocity",2,255.87,17.4,46.34,2002
"Radial Velocity",2,1383.4,2.44,46.34,2004
"Radial Velocity",3,1931,4.05,47.3,2009
"Radial Velocity",3,34.873,0.054,47.3,2011
"Radial Velocity",3,2831.6,1.68,47.3,2012
"Radial Velocity",1,1733,0.266,26.95,2011
"Radial Velocity",1,279.8,1.37,90.33,2008
"Radial Velocity",1,610,2.2,170.07,2009
"Radial Velocity",1,123,0.45,43.99,2004
"Radial Velocity",1,875.5,9.9,352.11,2012
"Radial Velocity",1,442.1,1.23,21.29,1998
"Radial Velocity",1,2.245715,0.45,52.72,2005
"Radial Velocity",1,373.3,2.3,121.8,2009
"Radial Velocity",1,951,4.5,40.75,2001
"Radial Velocity",2,7.2825,0.0087,21.52,2011
"Radial Velocity",2,10.866,0.0097,21.52,2011
"Radial Velocity",2,191.99,0.101,38.64,2011
"Radial Velocity",2,2277,0.246,38.64,2011
"Radial Velocity",2,3.93,0.017,43.53,2009
"Radial Velocity",2,567,0.33,43.53,2009
"Radial Velocity",1,1311,1.26,33.29,2002
"Radial Velocity",1,1294,2.1,26.52,2002
"Radial Velocity",1,118.45,0.65,37.89,2003
"Radial Velocity",2,7.126816,1.39,19.72,1998
"Radial Velocity",2,4270,2.6,19.72,2005
"Radial Velocity",1,1319,13,54.92,2010
"Radial Velocity",1,225.7,0.21,29.94,2010
"Radial Velocity",1,5501,10.39,29.2,2012
"Radial Velocity",1,3.8335,0.06,81.1,2007
"Radial Velocity",1,672.1,11.1,289.02,2012
"Radial Velocity",1,2209,1.06,45.23,2012
"Radial Velocity",1,3724.7,1.45,48.43,2011
"Radial Velocity",1,456.1,3.09,52.88,2007
"Radial Velocity",1,3999,1.9,50.45,2011
"Radial Velocity",1,572.38,7.75,41.95,1999
"Radial Velocity",1,26.73,0.71,94.07,2006
"Radial Velocity",1,141.6,1.08,108.46,2007
"Radial Velocity",1,745.7,5.3,307.69,2011
"Radial Velocity",1,2443,2.54,54.92,2009
"Radial Velocity",1,8.7836,0.0265,9.42,2008
"Radial Velocity",1,3.369,0.76,50.2,2004
"Radial Velocity",2,345.72,1.42,44.8,2009
"Radial Velocity",1,57,0.47,23.8,2010
"Radial Velocity",1,16.2,1.25,223.21,2010
"Radial Velocity",3,6.673855,3.88,52.88,2005
"Radial Velocity",3,147.73,1.28,52.88,2006
"Radial Velocity",3,952,0.57,52.88,2009
"Radial Velocity",1,41.397,0.298,11.03,2010
"Radial Velocity",3,8.1352,0.036,25.87,2011
"Radial Velocity",3,32.03,0.41,25.87,2011
"Radial Velocity",3,431.7,0.527,25.87,2011
"Radial Velocity",1,124.6,9.18,149.25,2013
"Radial Velocity",1,17337.5,9,23.98,2009
"Radial Velocity",1,511.098,8.82,31.33,2002
"Radial Velocity",1,111.7,2.1,14.9,2009
"Radial Velocity",1,5.0505,1.068,44.46,2013
"Radial Velocity",1,311.288,1.94,17.24,1999
"Transit",1,2.7033904,1.47,178,2013
"Radial Velocity",3,580,0.947,135,2012
