"","bikeshop.name","location","product.id","model","description","sales","order.id","sales_date","product_count"
"15","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,968,"2013-08-12",1
"16","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,1108,"2014-01-07",1
"17","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,1345,"2014-07-09",1
"18","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,1530,"2015-01-27",1
"19","Pittsburgh Mountain Machines","Pittsburgh, PA",6,"Supersix Evo Red","Road - Elite Road - Carbon",3940,1049,"2013-10-15",1
"20","Pittsburgh Mountain Machines","Pittsburgh, PA",6,"Supersix Evo Red","Road - Elite Road - Carbon",3940,1530,"2015-01-27",1
"21","Pittsburgh Mountain Machines","Pittsburgh, PA",7,"Supersix Evo Ultegra 3","Road - Elite Road - Carbon",3200,421,"2012-04-12",1
"22","Pittsburgh Mountain Machines","Pittsburgh, PA",7,"Supersix Evo Ultegra 3","Road - Elite Road - Carbon",3200,686,"2013-01-24",3
"23","Pittsburgh Mountain Machines","Pittsburgh, PA",7,"Supersix Evo Ultegra 3","Road - Elite Road - Carbon",3200,990,"2013-08-30",1
"24","Pittsburgh Mountain Machines","Pittsburgh, PA",7,"Supersix Evo Ultegra 3","Road - Elite Road - Carbon",3200,1505,"2014-12-11",1
"25","Pittsburgh Mountain Machines","Pittsburgh, PA",8,"Supersix Evo Ultegra 4","Road - Elite Road - Carbon",2660,1108,"2014-01-07",1
"26","Pittsburgh Mountain Machines","Pittsburgh, PA",9,"Supersix Evo 105","Road - Elite Road - Carbon",2240,342,"2012-02-01",1
"27","Pittsburgh Mountain Machines","Pittsburgh, PA",11,"CAAD12 Black Inc","Road - Elite Road - Aluminum",5860,990,"2013-08-30",1
"28","Pittsburgh Mountain Machines","Pittsburgh, PA",11,"CAAD12 Black Inc","Road - Elite Road - Aluminum",5860,1108,"2014-01-07",1
"29","Pittsburgh Mountain Machines","Pittsburgh, PA",12,"CAAD12 Disc Dura Ace","Road - Elite Road - Aluminum",4260,179,"2011-06-29",4
"30","Pittsburgh Mountain Machines","Pittsburgh, PA",12,"CAAD12 Disc Dura Ace","Road - Elite Road - Aluminum",4260,227,"2011-08-17",3
"31","Pittsburgh Mountain Machines","Pittsburgh, PA",12,"CAAD12 Disc Dura Ace","Road - Elite Road - Aluminum",4260,421,"2012-04-12",1
"32","Pittsburgh Mountain Machines","Pittsburgh, PA",12,"CAAD12 Disc Dura Ace","Road - Elite Road - Aluminum",4260,968,"2013-08-12",1
"33","Pittsburgh Mountain Machines","Pittsburgh, PA",12,"CAAD12 Disc Dura Ace","Road - Elite Road - Aluminum",4260,990,"2013-08-30",1
"34","Pittsburgh Mountain Machines","Pittsburgh, PA",13,"CAAD12 Red","Road - Elite Road - Aluminum",3200,817,"2013-05-07",1
"35","Pittsburgh Mountain Machines","Pittsburgh, PA",13,"CAAD12 Red","Road - Elite Road - Aluminum",3200,1049,"2013-10-15",2
"36","Pittsburgh Mountain Machines","Pittsburgh, PA",13,"CAAD12 Red","Road - Elite Road - Aluminum",3200,1108,"2014-01-07",1
"37","Pittsburgh Mountain Machines","Pittsburgh, PA",14,"CAAD Disc Ultegra","Road - Elite Road - Aluminum",2660,1945,"2015-11-06",1
"38","Pittsburgh Mountain Machines","Pittsburgh, PA",15,"CAAD12 Ultegra","Road - Elite Road - Aluminum",2240,1530,"2015-01-27",1
"39","Pittsburgh Mountain Machines","Pittsburgh, PA",18,"CAAD8 105","Road - Elite Road - Aluminum",1410,996,"2013-09-04",1
"40","Pittsburgh Mountain Machines","Pittsburgh, PA",22,"Synapse Hi-Mod Disc Black Inc.","Road - Endurance Road - Carbon",9590,990,"2013-08-30",2
"41","Pittsburgh Mountain Machines","Pittsburgh, PA",22,"Synapse Hi-Mod Disc Black Inc.","Road - Endurance Road - Carbon",9590,1108,"2014-01-07",1
"42","Pittsburgh Mountain Machines","Pittsburgh, PA",22,"Synapse Hi-Mod Disc Black Inc.","Road - Endurance Road - Carbon",9590,1470,"2014-10-16",1
"43","Pittsburgh Mountain Machines","Pittsburgh, PA",22,"Synapse Hi-Mod Disc Black Inc.","Road - Endurance Road - Carbon",9590,1530,"2015-01-27",1
"44","Pittsburgh Mountain Machines","Pittsburgh, PA",23,"Synapse Hi-Mod Disc Red","Road - Endurance Road - Carbon",7460,847,"2013-05-21",1
"45","Pittsburgh Mountain Machines","Pittsburgh, PA",23,"Synapse Hi-Mod Disc Red","Road - Endurance Road - Carbon",7460,1049,"2013-10-15",1
"46","Pittsburgh Mountain Machines","Pittsburgh, PA",23,"Synapse Hi-Mod Disc Red","Road - Endurance Road - Carbon",7460,1413,"2014-09-02",1
"47","Pittsburgh Mountain Machines","Pittsburgh, PA",24,"Synapse Hi-Mod Dura Ace","Road - Endurance Road - Carbon",5860,1345,"2014-07-09",6
"48","Pittsburgh Mountain Machines","Pittsburgh, PA",24,"Synapse Hi-Mod Dura Ace","Road - Endurance Road - Carbon",5860,1413,"2014-09-02",1
"49","Pittsburgh Mountain Machines","Pittsburgh, PA",24,"Synapse Hi-Mod Dura Ace","Road - Endurance Road - Carbon",5860,1505,"2014-12-11",1
"50","Pittsburgh Mountain Machines","Pittsburgh, PA",25,"Synapse Hi-Mod Disc Ultegra","Road - Endurance Road - Carbon",5330,421,"2012-04-12",1
"51","Pittsburgh Mountain Machines","Pittsburgh, PA",25,"Synapse Hi-Mod Disc Ultegra","Road - Endurance Road - Carbon",5330,525,"2012-07-13",1
"52","Pittsburgh Mountain Machines","Pittsburgh, PA",25,"Synapse Hi-Mod Disc Ultegra","Road - Endurance Road - Carbon",5330,996,"2013-09-04",1
"53","Pittsburgh Mountain Machines","Pittsburgh, PA",25,"Synapse Hi-Mod Disc Ultegra","Road - Endurance Road - Carbon",5330,1049,"2013-10-15",1
"54","Pittsburgh Mountain Machines","Pittsburgh, PA",26,"Synapse Carbon Disc Ultegra D12","Road - Endurance Road - Carbon",4800,817,"2013-05-07",1
"55","Pittsburgh Mountain Machines","Pittsburgh, PA",26,"Synapse Carbon Disc Ultegra D12","Road - Endurance Road - Carbon",4800,1108,"2014-01-07",1
"56","Pittsburgh Mountain Machines","Pittsburgh, PA",26,"Synapse Carbon Disc Ultegra D12","Road - Endurance Road - Carbon",4800,1219,"2014-04-25",2
"57","Pittsburgh Mountain Machines","Pittsburgh, PA",27,"Synapse Carbon Disc Ultegra","Road - Endurance Road - Carbon",3730,70,"2011-03-28",1
"58","Pittsburgh Mountain Machines","Pittsburgh, PA",27,"Synapse Carbon Disc Ultegra","Road - Endurance Road - Carbon",3730,179,"2011-06-29",1
"59","Pittsburgh Mountain Machines","Pittsburgh, PA",27,"Synapse Carbon Disc Ultegra","Road - Endurance Road - Carbon",3730,1413,"2014-09-02",1
"60","Pittsburgh Mountain Machines","Pittsburgh, PA",28,"Synapse Carbon Ultegra 3","Road - Endurance Road - Carbon",3200,1049,"2013-10-15",1
"61","Pittsburgh Mountain Machines","Pittsburgh, PA",28,"Synapse Carbon Ultegra 3","Road - Endurance Road - Carbon",3200,1505,"2014-12-11",1
"62","Pittsburgh Mountain Machines","Pittsburgh, PA",30,"Synapse Carbon Disc 105","Road - Endurance Road - Carbon",2660,1470,"2014-10-16",1
"63","Pittsburgh Mountain Machines","Pittsburgh, PA",31,"Synapse Carbon 105","Road - Endurance Road - Carbon",2240,1505,"2014-12-11",2
"64","Pittsburgh Mountain Machines","Pittsburgh, PA",33,"Synapse Disc Adventure","Road - Endurance Road - Aluminum",2130,968,"2013-08-12",2
"65","Pittsburgh Mountain Machines","Pittsburgh, PA",37,"Synapse Claris","Road - Endurance Road - Aluminum",870,1108,"2014-01-07",1
"66","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,179,"2011-06-29",1
"67","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,968,"2013-08-12",1
"68","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,990,"2013-08-30",2
"69","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,1108,"2014-01-07",8
"70","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,1413,"2014-09-02",1
"71","Pittsburgh Mountain Machines","Pittsburgh, PA",38,"Slice Hi-Mod Black Inc.","Road - Triathalon - Carbon",7000,1809,"2015-07-08",1
"72","Pittsburgh Mountain Machines","Pittsburgh, PA",39,"Slice Hi-Mod Dura Ace D12","Road - Triathalon - Carbon",4500,72,"2011-04-01",1
"73","Pittsburgh Mountain Machines","Pittsburgh, PA",39,"Slice Hi-Mod Dura Ace D12","Road - Triathalon - Carbon",4500,1049,"2013-10-15",1
"74","Pittsburgh Mountain Machines","Pittsburgh, PA",40,"Slice Ultegra D12","Road - Triathalon - Carbon",3200,421,"2012-04-12",1
"75","Pittsburgh Mountain Machines","Pittsburgh, PA",40,"Slice Ultegra D12","Road - Triathalon - Carbon",3200,1108,"2014-01-07",1
"76","Pittsburgh Mountain Machines","Pittsburgh, PA",40,"Slice Ultegra D12","Road - Triathalon - Carbon",3200,1413,"2014-09-02",1
"77","Pittsburgh Mountain Machines","Pittsburgh, PA",40,"Slice Ultegra D12","Road - Triathalon - Carbon",3200,1809,"2015-07-08",1
"78","Pittsburgh Mountain Machines","Pittsburgh, PA",43,"SuperX Hi-Mod CX1","Road - Cyclocross - Carbon",3500,817,"2013-05-07",1
"79","Pittsburgh Mountain Machines","Pittsburgh, PA",43,"SuperX Hi-Mod CX1","Road - Cyclocross - Carbon",3500,990,"2013-08-30",1
"80","Pittsburgh Mountain Machines","Pittsburgh, PA",43,"SuperX Hi-Mod CX1","Road - Cyclocross - Carbon",3500,1108,"2014-01-07",1
"81","Pittsburgh Mountain Machines","Pittsburgh, PA",43,"SuperX Hi-Mod CX1","Road - Cyclocross - Carbon",3500,1413,"2014-09-02",3
"82","Pittsburgh Mountain Machines","Pittsburgh, PA",43,"SuperX Hi-Mod CX1","Road - Cyclocross - Carbon",3500,1470,"2014-10-16",1
"83","Pittsburgh Mountain Machines","Pittsburgh, PA",44,"SuperX Ultegra","Road - Cyclocross - Carbon",2450,778,"2013-04-12",1
"84","Pittsburgh Mountain Machines","Pittsburgh, PA",47,"Jekyll Carbon 1","Mountain - Over Mountain - Carbon",7990,996,"2013-09-04",3
"85","Pittsburgh Mountain Machines","Pittsburgh, PA",47,"Jekyll Carbon 1","Mountain - Over Mountain - Carbon",7990,1049,"2013-10-15",1
"86","Pittsburgh Mountain Machines","Pittsburgh, PA",47,"Jekyll Carbon 1","Mountain - Over Mountain - Carbon",7990,1809,"2015-07-08",1
"87","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,421,"2012-04-12",1
"88","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,686,"2013-01-24",1
"89","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,847,"2013-05-21",1
"90","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,968,"2013-08-12",1
"91","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,1049,"2013-10-15",1
"92","Pittsburgh Mountain Machines","Pittsburgh, PA",48,"Jekyll Carbon 2","Mountain - Over Mountain - Carbon",6070,1530,"2015-01-27",1
"93","Pittsburgh Mountain Machines","Pittsburgh, PA",49,"Jekyll Carbon 3","Mountain - Over Mountain - Carbon",3840,342,"2012-02-01",2
"94","Pittsburgh Mountain Machines","Pittsburgh, PA",49,"Jekyll Carbon 3","Mountain - Over Mountain - Carbon",3840,996,"2013-09-04",1
"95","Pittsburgh Mountain Machines","Pittsburgh, PA",49,"Jekyll Carbon 3","Mountain - Over Mountain - Carbon",3840,1413,"2014-09-02",1
"96","Pittsburgh Mountain Machines","Pittsburgh, PA",49,"Jekyll Carbon 3","Mountain - Over Mountain - Carbon",3840,1809,"2015-07-08",2
"97","Pittsburgh Mountain Machines","Pittsburgh, PA",50,"Jekyll Carbon 4","Mountain - Over Mountain - Carbon",3200,968,"2013-08-12",1
"98","Pittsburgh Mountain Machines","Pittsburgh, PA",50,"Jekyll Carbon 4","Mountain - Over Mountain - Carbon",3200,990,"2013-08-30",1
"99","Pittsburgh Mountain Machines","Pittsburgh, PA",50,"Jekyll Carbon 4","Mountain - Over Mountain - Carbon",3200,1049,"2013-10-15",4
"100","Pittsburgh Mountain Machines","Pittsburgh, PA",50,"Jekyll Carbon 4","Mountain - Over Mountain - Carbon",3200,1530,"2015-01-27",1
"101","Pittsburgh Mountain Machines","Pittsburgh, PA",51,"Trigger Carbon 1","Mountain - Over Mountain - Carbon",8200,817,"2013-05-07",1
"102","Pittsburgh Mountain Machines","Pittsburgh, PA",51,"Trigger Carbon 1","Mountain - Over Mountain - Carbon",8200,1505,"2014-12-11",1
"103","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1049,"2013-10-15",1
"104","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1108,"2014-01-07",1
"105","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1345,"2014-07-09",1
"106","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1413,"2014-09-02",1
"107","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1530,"2015-01-27",1
"108","Pittsburgh Mountain Machines","Pittsburgh, PA",52,"Trigger Carbon 2","Mountain - Over Mountain - Carbon",5970,1809,"2015-07-08",1
"109","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,990,"2013-08-30",1
"110","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,1049,"2013-10-15",1
"111","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,1345,"2014-07-09",1
"112","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,1505,"2014-12-11",1
"113","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,1530,"2015-01-27",9
"114","Pittsburgh Mountain Machines","Pittsburgh, PA",53,"Trigger Carbon 3","Mountain - Over Mountain - Carbon",3730,1809,"2015-07-08",1
"115","Pittsburgh Mountain Machines","Pittsburgh, PA",54,"Trigger Carbon 4","Mountain - Over Mountain - Carbon",3200,421,"2012-04-12",1
"116","Pittsburgh Mountain Machines","Pittsburgh, PA",54,"Trigger Carbon 4","Mountain - Over Mountain - Carbon",3200,847,"2013-05-21",1
"117","Pittsburgh Mountain Machines","Pittsburgh, PA",54,"Trigger Carbon 4","Mountain - Over Mountain - Carbon",3200,996,"2013-09-04",1
"118","Pittsburgh Mountain Machines","Pittsburgh, PA",54,"Trigger Carbon 4","Mountain - Over Mountain - Carbon",3200,1049,"2013-10-15",2
"119","Pittsburgh Mountain Machines","Pittsburgh, PA",54,"Trigger Carbon 4","Mountain - Over Mountain - Carbon",3200,1530,"2015-01-27",1
"120","Pittsburgh Mountain Machines","Pittsburgh, PA",55,"Scalpel-Si Black Inc.","Mountain - Cross Country Race - Carbon",12790,421,"2012-04-12",1
"121","Pittsburgh Mountain Machines","Pittsburgh, PA",55,"Scalpel-Si Black Inc.","Mountain - Cross Country Race - Carbon",12790,990,"2013-08-30",1
"122","Pittsburgh Mountain Machines","Pittsburgh, PA",55,"Scalpel-Si Black Inc.","Mountain - Cross Country Race - Carbon",12790,1470,"2014-10-16",1
"123","Pittsburgh Mountain Machines","Pittsburgh, PA",55,"Scalpel-Si Black Inc.","Mountain - Cross Country Race - Carbon",12790,1530,"2015-01-27",1
"124","Pittsburgh Mountain Machines","Pittsburgh, PA",56,"Scalpel-Si Race","Mountain - Cross Country Race - Carbon",9060,421,"2012-04-12",1
"125","Pittsburgh Mountain Machines","Pittsburgh, PA",56,"Scalpel-Si Race","Mountain - Cross Country Race - Carbon",9060,686,"2013-01-24",1
"126","Pittsburgh Mountain Machines","Pittsburgh, PA",56,"Scalpel-Si Race","Mountain - Cross Country Race - Carbon",9060,1049,"2013-10-15",1
"127","Pittsburgh Mountain Machines","Pittsburgh, PA",56,"Scalpel-Si Race","Mountain - Cross Country Race - Carbon",9060,1108,"2014-01-07",1
"128","Pittsburgh Mountain Machines","Pittsburgh, PA",57,"Scalpel-Si Hi-Mod 1","Mountain - Cross Country Race - Carbon",7460,342,"2012-02-01",1
"129","Pittsburgh Mountain Machines","Pittsburgh, PA",57,"Scalpel-Si Hi-Mod 1","Mountain - Cross Country Race - Carbon",7460,847,"2013-05-21",1
"130","Pittsburgh Mountain Machines","Pittsburgh, PA",57,"Scalpel-Si Hi-Mod 1","Mountain - Cross Country Race - Carbon",7460,1049,"2013-10-15",2
"131","Pittsburgh Mountain Machines","Pittsburgh, PA",57,"Scalpel-Si Hi-Mod 1","Mountain - Cross Country Race - Carbon",7460,1530,"2015-01-27",1
"132","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,686,"2013-01-24",1
"133","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,817,"2013-05-07",1
"134","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,893,"2013-06-20",1
"135","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,996,"2013-09-04",1
"136","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,1345,"2014-07-09",1
"137","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,1413,"2014-09-02",1
"138","Pittsburgh Mountain Machines","Pittsburgh, PA",58,"Scalpel-Si Carbon 2","Mountain - Cross Country Race - Carbon",6390,1470,"2014-10-16",1
"139","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,70,"2011-03-28",7
"140","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,421,"2012-04-12",1
"141","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,778,"2013-04-12",1
"142","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,968,"2013-08-12",1
"143","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,1049,"2013-10-15",5
"144","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,1530,"2015-01-27",1
"145","Pittsburgh Mountain Machines","Pittsburgh, PA",59,"Scalpel-Si Carbon 3","Mountain - Cross Country Race - Carbon",5330,1809,"2015-07-08",1
"146","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,70,"2011-03-28",1
"147","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,421,"2012-04-12",2
"148","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,686,"2013-01-24",1
"149","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,968,"2013-08-12",1
"150","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,996,"2013-09-04",1
"151","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,1530,"2015-01-27",1
"152","Pittsburgh Mountain Machines","Pittsburgh, PA",60,"Scalpel-Si Carbon 4","Mountain - Cross Country Race - Carbon",4260,1809,"2015-07-08",2
"153","Pittsburgh Mountain Machines","Pittsburgh, PA",61,"Scalpel-Si 5","Mountain - Cross Country Race - Aluminum",3200,1345,"2014-07-09",1
"154","Pittsburgh Mountain Machines","Pittsburgh, PA",61,"Scalpel-Si 5","Mountain - Cross Country Race - Aluminum",3200,1413,"2014-09-02",1
"155","Pittsburgh Mountain Machines","Pittsburgh, PA",61,"Scalpel-Si 5","Mountain - Cross Country Race - Aluminum",3200,1470,"2014-10-16",1
"156","Pittsburgh Mountain Machines","Pittsburgh, PA",61,"Scalpel-Si 5","Mountain - Cross Country Race - Aluminum",3200,1530,"2015-01-27",1
"157","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,70,"2011-03-28",1
"158","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,421,"2012-04-12",1
"159","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,629,"2012-11-08",2
"160","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,686,"2013-01-24",1
"161","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,817,"2013-05-07",1
"162","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,847,"2013-05-21",1
"163","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,968,"2013-08-12",1
"164","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,990,"2013-08-30",1
"165","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,1049,"2013-10-15",1
"166","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,1108,"2014-01-07",1
"167","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,1505,"2014-12-11",4
"168","Pittsburgh Mountain Machines","Pittsburgh, PA",62,"Scalpel 29 Carbon Race","Mountain - Cross Country Race - Carbon",6390,1530,"2015-01-27",1
"169","Pittsburgh Mountain Machines","Pittsburgh, PA",63,"Scalpel 29 Carbon 2","Mountain - Cross Country Race - Carbon",5330,421,"2012-04-12",1
"170","Pittsburgh Mountain Machines","Pittsburgh, PA",63,"Scalpel 29 Carbon 2","Mountain - Cross Country Race - Carbon",5330,1026,"2013-09-27",1
"171","Pittsburgh Mountain Machines","Pittsburgh, PA",63,"Scalpel 29 Carbon 2","Mountain - Cross Country Race - Carbon",5330,1049,"2013-10-15",1
"172","Pittsburgh Mountain Machines","Pittsburgh, PA",63,"Scalpel 29 Carbon 2","Mountain - Cross Country Race - Carbon",5330,1530,"2015-01-27",1
"173","Pittsburgh Mountain Machines","Pittsburgh, PA",63,"Scalpel 29 Carbon 2","Mountain - Cross Country Race - Carbon",5330,1809,"2015-07-08",1
"174","Pittsburgh Mountain Machines","Pittsburgh, PA",64,"Scalpel 29 Carbon 3","Mountain - Cross Country Race - Carbon",4260,1108,"2014-01-07",1
"175","Pittsburgh Mountain Machines","Pittsburgh, PA",64,"Scalpel 29 Carbon 3","Mountain - Cross Country Race - Carbon",4260,1809,"2015-07-08",1
"176","Pittsburgh Mountain Machines","Pittsburgh, PA",65,"Scalpel 29 4","Mountain - Cross Country Race - Aluminum",3200,1049,"2013-10-15",1
"177","Pittsburgh Mountain Machines","Pittsburgh, PA",65,"Scalpel 29 4","Mountain - Cross Country Race - Aluminum",3200,1108,"2014-01-07",1
